Project.clutch.ID,Breeding.year,Common.species,Latin.species,Analyses.breeding.habitat.type,Region.Country,Region.County,county,Region.central.longitude.coordinate,Region.central.latitude.coordinate,Clutch.size,Clutch.no.eggs.Hatched,Clutch.no.eggs.Failed,Clutch.no.eggs.Abandoned,Clutch.no.eggs.Predated,Clutch.no.eggs.Damaged,Clutch.no.eggs.Unknown,Phase.1.failed.only,Phase.2.failed.only,Phase.3.failed.only,NA.and.Unknown.embryo.mortality.data.failed.only,Phase.1.failedandabandoned,Phase.2.failedandabandoned,Phase.3.failedandabandoned,NA.and.Unknown.embryo.mortality.data.failedandabandoned,Hatched,Incubation.type
Wild.Clutch.1,2022,Eurasian Curlew,Numenius arquata,Wetland,Scotland,Aberdeenshire,['Aberdeenshire'],-2.7921,57.2347,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Wild
Wild.Clutch.2,2022,Eurasian Curlew,Numenius arquata,Grassland,England,Warwickshire,['Warwickshire'],-1.5688,52.1798,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Wild
Wild.Clutch.3,2022,Eurasian Curlew,Numenius arquata,Grassland,England,Warwickshire,['Warwickshire'],-1.5688,52.1798,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Wild
Wild.Clutch.4,2022,Eurasian Curlew,Numenius arquata,NA,Northern Ireland,Fermanagh,County Fermanagh,-7.5271,54.3852,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Wild
Wild.Clutch.5,2022,Eurasian Curlew,Numenius arquata,NA,Northern Ireland,Fermanagh,County Fermanagh,-7.5271,54.3852,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Wild
Wild.Clutch.6,2022,Eurasian Curlew,Numenius arquata,NA,Northern Ireland,Fermanagh,County Fermanagh,-7.5271,54.3852,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Wild
Wild.Clutch.7,2022,Eurasian Curlew,Numenius arquata,NA,Northern Ireland,Fermanagh,County Fermanagh,-7.5271,54.3852,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,Wild
Wild.Clutch.8,2022,Eurasian Curlew,Numenius arquata,NA,Northern Ireland,Fermanagh,County Fermanagh,-7.5271,54.3852,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Wild
Wild.Clutch.9,2022,Eurasian Curlew,Numenius arquata,NA,Northern Ireland,Fermanagh,County Fermanagh,-7.5271,54.3852,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Wild
Wild.Clutch.10,2022,Eurasian Curlew,Numenius arquata,NA,Northern Ireland,Fermanagh,County Fermanagh,-7.5271,54.3852,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Wild
Wild.Clutch.11,2022,Eurasian Curlew,Numenius arquata,NA,Northern Ireland,Fermanagh,County Fermanagh,-7.5271,54.3852,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Wild
Wild.Clutch.12,2022,Eurasian Curlew,Numenius arquata,Wetland,England,Cumbria,['Cumbria'],-2.9021,54.6364,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Wild
Wild.Clutch.13,2022,Eurasian Curlew,Numenius arquata,Wetland,England,Cumbria,['Cumbria'],-2.9021,54.6364,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Wild
